Title,UUID,Release_Time,Duration,Director,Producer,Issurer,Type_Series,Actress,Magnet,Img_URL
VRTM-415 久しぶりに働き出したデカ尻義母はパンツスーツを着用！ピタパン尻から浮き出るパンティーラインに息子は我慢できず即挿入！旦那では体験したことがない豊満尻波打たせる激ピストンで何度も絶頂！ 3,VRTM-415, 2019-03-22, 120分鐘,望月英吾,V＆RPRODUCE,V＆RPRODUCE,久しぶりに働き出したデカ尻義母は…,"['黒川すみれ', '浅見せな', 'あけみみう']","['magnet:?xt=urn:btih:DACAE1405E06924D2EC11CBD4917016E25590A55&dn=VRTM-415++3.mp4', 'magnet:?xt=urn:btih:B6E92CA517B6EB7E3EB98E7D7B64503DA4124B6A&dn=hjd2048.com-0327vrtm415-h264']",https://pics.javbus.com/cover/70wz_b.jpg
VRTM-414 「私も子供が欲しい！」保育園で働くデカ乳保母さんが同僚の男に悩みを相談！妊娠願望強すぎて母性溢れるオッパイでまさかの授乳手コキ！萎え知らずの若いチ●ポを自ら挿入しデカ乳激揺れさせながら何度も中出し懇願！3,VRTM-414, 2019-03-22, 150分鐘,ビンセント・ギャル,V＆RPRODUCE,V＆RPRODUCE,保育園で働くデカ乳保母さんが同僚の男に悩みを相談！,"['倉多まお', '三原ほのか', '皆瀬杏樹']","['magnet:?xt=urn:btih:A77D6A9A74B271CC59E814E1D2B5094D25C431A9&dn=VRTM-414+3.mp4', 'magnet:?xt=urn:btih:A28C2093C5A7202BBEA050F178D37CB65EB3E192&dn=hjd2048.com-0327vrtm414-h264']",https://pics.javbus.com/cover/70x0_b.jpg
VRTM-417 「お父さん大好きだよ…」単身赴任で離れ離れで暮らすことが決まった大好きな父に別れを惜しんでベロキス密着中出しSEX！2,VRTM-417, 2019-03-22, 150分鐘,田中素直,V＆RPRODUCE,V＆RPRODUCE,単身赴任で離れ離れで暮らすことが決まった大好きな父に別れを惜しんでベロキス密着中出しSEX！,"['神谷充希', '紗藤あゆ', '桃尻かのん']","['magnet:?xt=urn:btih:80ACEB9F4654E310CC1D69C8E1D0AB1C81E5981A&dn=VRTM-417+SEX2.mp4', 'magnet:?xt=urn:btih:180CEE1C62AFBEEC801E5F329E17E88AB419155E&dn=hjd2048.com-0327vrtm417-h264']",https://pics.javbus.com/cover/70x2_b.jpg
MDTM-500 大人たちにダマされ‘ハメ’られる制服女子たち 4時間,MDTM-500, 2019-03-22, 227分鐘,メディアステーション,宇宙企画,,中出,[],"['magnet:?xt=urn:btih:21F68088ACB1F66CD2EF89818CDF3A5EC81AEB94&dn=mdtm-500', 'magnet:?xt=urn:btih:6B239C7E0129CE65754F03D79A9CF25EC5BBC334&dn=MDTM-500++4.mp4']",https://pics.javbus.com/cover/71wx_b.jpg
BAZX-179 働く新卒社会人と性交。VOL.011,BAZX-179, 2019-03-22, 185分鐘,TODO,メディアステーション,BAZOOKA（バズーカ）,働く新卒社会人と性交。,[],"['magnet:?xt=urn:btih:93007B8F7386B01A1826D82E940EA5FD7ED5D9BB&dn=bazx-179', 'magnet:?xt=urn:btih:C1E7D37D33D2E1034AFFDC329119B263A8A17679&dn=BAZX-179+VOL.011.mp4', 'magnet:?xt=urn:btih:F40B38E395117ED4CB0DE95F57BCAE446F06050A&dn=BAZX179mp4']",https://pics.javbus.com/cover/71wz_b.jpg
MDTM-501 むちむちニーハイ絶対領域とデカ尻で誘惑する制服美少女 優梨まいな,MDTM-501, 2019-03-22, 157分鐘,メディアステーション,宇宙企画,,中出,['優梨まいな'],"['magnet:?xt=urn:btih:40F1E3FA4A87477D14B9686552A25FEBCD906E1F&dn=MDTM-501++.mp4', 'magnet:?xt=urn:btih:DFF6E14E62CFB25624500FF352E8C152E524B620&dn=hjd2048.com-0327mdtm501-h264']",https://pics.javbus.com/cover/71x0_b.jpg
NMO-053 続・異常性交 四十路母と子 其ノ弐 平岡里枝子,NMO-053, 2019-03-22, 121分鐘,中野弥生,グローバルメディアエンタテインメント,NeoMOM,続・異常性交四十路母と子,['平岡里枝子'],"['magnet:?xt=urn:btih:7A709220F71CEC57E56216AC55C55AEC100FC6A1&dn=nmo-053.mp4', 'magnet:?xt=urn:btih:AAD2C6980E31F8E3012EFEB244FCF0E4317B8BE4&dn=NMO-53++++.mp4']",https://pics.javbus.com/cover/71xr_b.jpg
MGT-070 街角シロウトナンパ！ vol.45 お悩み解決らぶワゴン 3,MGT-070, 2019-03-22, 245分鐘,プレステージ,MEGATRA,街角シロウトナンパ！,,[],"['magnet:?xt=urn:btih:E5583FE0336F2BEBBF54E2BC19CFFA9F04C369DF&dn=mgt-070', 'magnet:?xt=urn:btih:E3E3438ECFA45E3E9F9FF62ECE96FF5B0FCF4514&dn=MGT-070++vol.45++3.mp4']",https://pics.javbus.com/cover/71fd_b.jpg
REBDB-346 Yuna2 Refresh cruise 小倉由菜,REBDB-346, 2019-02-07, 95分鐘,CIMA,REbecca,REbecca,,['小倉由菜'],"['magnet:?xt=urn:btih:E1C530B234B3FF094741613942B7623DA2189A0A&dn=REBDB-346+Yuna+Ogura+%E5%B0%8F%E5%80%89%E7%94%B1%E8%8F%9C+Yuna2+Refresh+cruise', 'magnet:?xt=urn:btih:BE43B40FE2BC7A420230FEBFFC815990D8E8B7C4&dn=REBDB-346.mp4']",https://pics.javbus.com/cover/6zlp_b.jpg
JRZD-861 初撮り人妻ドキュメント 海藤みずほ,JRZD-861, 2019-01-24, 131分鐘,湊谷,センタービレッジ,聚楽,初撮り人妻ドキュメント,['海藤みずほ'],"['magnet:?xt=urn:btih:68EB341CCAE3FB1267D2B29EE1AA0FE3BBDD4CAB&dn=JRZD861mp4', 'magnet:?xt=urn:btih:A99620DC046BEFBDDFC4C032E4049F7B9D7C9242&dn=JRZD-861++.mp4']",https://pics.javbus.com/cover/6ysk_b.jpg
BDSR-373 二人でするヨガ。タイ古式マッサージ店盗撮。素人人妻をタイ古式マッサージの無料体験と偽り騙して癒して中出ししちゃいました 葛飾区編,BDSR-373, 2019-01-12, 204分鐘,金子次郎,ビッグモーカル,BIGMORKAL,素人人妻をタイ古式マッサージの無料体験と偽り,"['ましろ杏', '澤村レイコ（高坂保奈美、高坂ますみ）', '彩奈リナ', '明里ともか', '音海里奈']","['magnet:?xt=urn:btih:4B1896E56CF94E2C4FB1FE995EF26CDEEFFC62D4&dn=35.bdsr373', 'magnet:?xt=urn:btih:9B123B30FE2D55A87C70FD0FA7E7CC62B09B3B95&dn=hjd2048.com_BDSR373-SD']",https://pics.javbus.com/cover/6y0x_b.jpg
NSPS-788 【衝撃】修羅場NTR 妻と知人のファック現場,NSPS-788, 2019-03-25, 127分鐘,ながえ,ながえスタイル,ながえSTYLE,,"['初美りん', '二宮和香', '高梨りの']","['magnet:?xt=urn:btih:A50A541F4B511E4EDD7B06CF0725EAE2E80A61EC&dn=nsps-788.mp4', 'magnet:?xt=urn:btih:E62160E685DB32FA5D6844BD395205CE64CA5019&dn=NSPS-788+NTR+.mp4']",https://pics.javbus.com/cover/70kj_b.jpg
CETD-302 初アナル解禁！音羽文子の肛門処女を奪うアナル開発ドキュメント 特典版2枚組 音羽文子,CETD-302, 2019-03-25, 201分鐘,セレブの友,セレブの友,,多P,['音羽文子'],"['magnet:?xt=urn:btih:F507BF25E600364552B908931517B983BF037637&dn=CETD-302.mp4', 'magnet:?xt=urn:btih:357A6388A2B1491E3BBC60F7CAB3A42083287AE9&dn=CETD-302.mp4', 'magnet:?xt=urn:btih:6660DC38C3AD87C46974ED97B02FA0D413314CED&dn=CETD-302++2+.mp4']",https://pics.javbus.com/cover/70lu_b.jpg
